municipio;codigo_unidade_gestora;descricao_unidade_gestora;mes_ano;ano;codigo_receita;descricao_receita;tipo_atualizacao_receita;valor;codigo_fonte_recurso;descricao_fonte_recurso;co;descricao_co
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;24299901;Outras Transferências de Recursos dos Estados - Principal;Lançamento de Receita;400.000;710;Transferência Especial dos Estados;3210;Identificação das Transferências dos Estados decorrentes de emendas parlamentares individuais
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;24195101;Transferência Especial da União - Principal;Lançamento de Receita;1.881.000;706;"Transferência Especial da União ";3110;Identificação das Transferências da União decorrentes de emendas parlamentares individuais
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;24195101;Transferência Especial da União - Principal;Lançamento de Receita;6.275.070,8;700;Outras Transferências de Convênios ou Repasses da União;3120;Identificação das Transferências da União decorrentes de emendas parlamentares de bancada
João Pessoa;201095;Prefeitura Municipal de João Pessoa;042025;2025;24195101;Transferência Especial da União - Principal;Lançamento de Receita;955.000;700;Outras Transferências de Convênios ou Repasses da União;3110;Identificação das Transferências da União decorrentes de emendas parlamentares individuais
João Pessoa;201095;Prefeitura Municipal de João Pessoa;042025;2025;24195101;Transferência Especial da União - Principal;Lançamento de Receita;439.300;700;Outras Transferências de Convênios ou Repasses da União;3120;Identificação das Transferências da União decorrentes de emendas parlamentares de bancada
João Pessoa;201095;Prefeitura Municipal de João Pessoa;022025;2025;24195101;Transferência Especial da União - Principal;Lançamento de Receita;669.827,4;700;Outras Transferências de Convênios ou Repasses da União;3120;Identificação das Transferências da União decorrentes de emendas parlamentares de bancada
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;24125011;Transferências para o Programa de Apoio ao Transporte Escolar para Educação Básica - CAMINHO DA ESCOLA - Principal;Lançamento de Receita;399.328,72;569;Outras Transferências de Recursos do FNDE;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;052025;2025;24125011;Transferências para o Programa de Apoio ao Transporte Escolar para Educação Básica - CAMINHO DA ESCOLA - Principal;Lançamento de Receita;524.189,79;569;Outras Transferências de Recursos do FNDE;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;23110601;Amortização de Empréstimos Contratuais - Principal;Lançamento de Receita;1.988.596,08;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;042025;2025;23110601;Amortização de Empréstimos Contratuais - Principal;Lançamento de Receita;800.000;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;022025;2025;23110601;Amortização de Empréstimos Contratuais - Principal;Lançamento de Receita;251.473,12;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;012025;2025;23110601;Amortização de Empréstimos Contratuais - Principal;Lançamento de Receita;264.249,82;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;112025;2025;21299901;Outras Operações de Crédito - Mercado Externo - Principal;Lançamento de Receita;108.380.000;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;21299901;Outras Operações de Crédito - Mercado Externo - Principal;Lançamento de Receita;78.252.000;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;1.499.181,33;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;112025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;20.493.405,34;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;102025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;702.857,82;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;092025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;4.389.930,05;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;082025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;20.996.050,73;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;1.038.338,72;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;062025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;45.335.130,89;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;052025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;1.986.058,17;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;042025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;869.467,47;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;032025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;6.313.985,26;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;022025;2025;21199901;Outras Operações de Crédito - Mercado Interno - Principal;Lançamento de Receita;39.770.555,44;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;092025;2025;19999923;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Dívida Ativa;Lançamento de Receita;-10.365,95;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;19999923;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Dívida Ativa;Lançamento de Receita;23.167,91;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;062025;2025;19999923;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Dívida Ativa;Lançamento de Receita;184.180,31;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;19999922;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Multas e Juros de Mora;Lançamento de Receita;199.409,45;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;55.457,35;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;5.333,16;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;919.373,44;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;132.289,8;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;112025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;8.734,91;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
João Pessoa;201095;Prefeitura Municipal de João Pessoa;112025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;1.110.117,89;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;112025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;-889.657,63;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;112025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;423.134,35;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;102025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;1.902.922,51;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;102025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;29.673,58;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;102025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;64,13;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
João Pessoa;201095;Prefeitura Municipal de João Pessoa;102025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;2.753,91;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;092025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;402,84;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;092025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;24.195,6;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;092025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;504.971,35;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;082025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;-741.262,99;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;082025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;1.127.936,86;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;082025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;207.251,53;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;-780.743,4;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;861.540,32;701;Outras Transferências de Convênios ou Repasses dos Estados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;40.591,46;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;5.858,42;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;062025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;143.028,48;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;062025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;17.902,95;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;062025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;2.580;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
João Pessoa;201095;Prefeitura Municipal de João Pessoa;062025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;86.587,46;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;052025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;131.809,4;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;052025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;33.187,5;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;052025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;70.270,93;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;052025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;800;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
João Pessoa;201095;Prefeitura Municipal de João Pessoa;042025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;37.470,86;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;042025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;126,27;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
João Pessoa;201095;Prefeitura Municipal de João Pessoa;042025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;67.059,06;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;042025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;175.953,2;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;042025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;18;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;032025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;4.988,24;754;"Recursos de Operações de Crédito ";"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;032025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;125.510,75;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;032025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;219.739,49;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;032025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;2.600;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
João Pessoa;201095;Prefeitura Municipal de João Pessoa;032025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;3;700;Outras Transferências de Convênios ou Repasses da União;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;032025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;861.540,32;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;022025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;7.685,02;500;Recursos não vinculados de Impostos;1001;Identificação das despesas com manutenção e desenvolvimento do ensino
João Pessoa;201095;Prefeitura Municipal de João Pessoa;022025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;116,64;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;022025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;952.068,48;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;022025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;158.912,43;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;012025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;145.834,24;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;012025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;116,64;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;012025;2025;19999921;Outras Receitas Não Arrecadadas e Não Projetadas pela RFB - Primárias   - Principal;Lançamento de Receita;149.296,36;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;1.624.973,28;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;19991221;Ônus de Sucumbência - Principal;Outras Deduções;-1.805.763,59;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;112025;2025;19991221;Ônus de Sucumbência - Principal;Outras Deduções;-590.865,61;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;112025;2025;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;2.312.681,57;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;102025;2025;19991221;Ônus de Sucumbência - Principal;Outras Deduções;-454.422,45;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;102025;2025;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;753.577,37;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;092025;2025;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;578.969,54;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;092025;2025;19991221;Ônus de Sucumbência - Principal;Outras Deduções;-404.111,26;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;082025;2025;19991221;Ônus de Sucumbência - Principal;Outras Deduções;-422.552,49;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;082025;2025;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;509.579,33;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;561.713,25;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;19991221;Ônus de Sucumbência - Principal;Outras Deduções;-234.059,86;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;062025;2025;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;300.076,75;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;042025;2025;19991221;Ônus de Sucumbência - Principal;Lançamento de Receita;510.291,57;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;12.493,31;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;1.138,96;719;Transferências da Política Nacional Aldir Blanc de Fomento à Cultura - Lei 14.399/2022;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;092025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;2.051,27;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;082025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;-147,6;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;062025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;147,6;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;042025;2025;19229901;Outras Restituições - Principal;Lançamento de Receita;147,6;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;19219901;Outras Indenizações - Principal;Lançamento de Receita;17.187,2;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;112025;2025;19219901;Outras Indenizações - Principal;Lançamento de Receita;15.299,75;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;102025;2025;19219901;Outras Indenizações - Principal;Lançamento de Receita;34.799,19;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;092025;2025;19219901;Outras Indenizações - Principal;Lançamento de Receita;11.946,77;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;072025;2025;19219901;Outras Indenizações - Principal;Lançamento de Receita;5.550,03;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;062025;2025;19219901;Outras Indenizações - Principal;Lançamento de Receita;25.049,47;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;052025;2025;19219901;Outras Indenizações - Principal;Lançamento de Receita;5.550,03;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;042025;2025;19219901;Outras Indenizações - Principal;Lançamento de Receita;52.929,19;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;032025;2025;19219901;Outras Indenizações - Principal;Lançamento de Receita;5.550,03;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;022025;2025;19219901;Outras Indenizações - Principal;Lançamento de Receita;6.087,14;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;012025;2025;19219901;Outras Indenizações - Principal;Lançamento de Receita;10.828,7;500;Recursos não vinculados de Impostos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;092025;2025;19110403;Multas Previstas na Legislação sobre Defesa dos Direitos Difusos - Dívida Ativa;Lançamento de Receita;0;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;082025;2025;19110403;Multas Previstas na Legislação sobre Defesa dos Direitos Difusos - Dívida Ativa;Lançamento de Receita;210.899,81;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;082025;2025;19110403;Multas Previstas na Legislação sobre Defesa dos Direitos Difusos - Dívida Ativa;Lançamento de Receita;492.099,57;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;19110401;Multas Previstas na Legislação sobre Defesa dos Direitos Difusos - Principal;Lançamento de Receita;1.229.176,87;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;122025;2025;19110401;Multas Previstas na Legislação sobre Defesa dos Direitos Difusos - Principal;Lançamento de Receita;-454.667,6;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;112025;2025;19110401;Multas Previstas na Legislação sobre Defesa dos Direitos Difusos - Principal;Lançamento de Receita;460.023,39;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;112025;2025;19110401;Multas Previstas na Legislação sobre Defesa dos Direitos Difusos - Principal;Lançamento de Receita;460.023,38;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;102025;2025;19110401;Multas Previstas na Legislação sobre Defesa dos Direitos Difusos - Principal;Lançamento de Receita;459.239,13;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;102025;2025;19110401;Multas Previstas na Legislação sobre Defesa dos Direitos Difusos - Principal;Lançamento de Receita;222.015,1;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;092025;2025;19110401;Multas Previstas na Legislação sobre Defesa dos Direitos Difusos - Principal;Lançamento de Receita;796.116,5;759;Recursos vinculados a fundos;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;092025;2025;19110401;Multas Previstas na Legislação sobre Defesa dos Direitos Difusos - Principal;Lançamento de Receita;344.225,66;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
João Pessoa;201095;Prefeitura Municipal de João Pessoa;082025;2025;19110401;Multas Previstas na Legislação sobre Defesa dos Direitos Difusos - Principal;Lançamento de Receita;154.373,87;501;Outros Recursos não Vinculados;"Não ";Não Aplicável
